0,0.25,0.5,1,2,4,8,exclusions,pruning,pcs
0.009090909,0.031818182,0.031818182,0.1,0.186363636,0.309090909,0.377272727,none,none,pi
0.01363636,0.03181818,0.03181818,0.1,0.18636364,0.29090909,0.33636364,none,0.1,1
0.009090909,0.031818182,0.031818182,0.1,0.2,0.309090909,0.359090909,none,none,1
0.01363636,0.03181818,0.03181818,0.1,0.18636364,0.29090909,0.33181818,lit,0.1,1
0.009090909,0.031818182,0.031818182,0.1,0.195454545,0.309090909,0.359090909,lit,none,1
0.01363636,0.03181818,0.03181818,0.10909091,0.15909091,0.16818182,0.18181818,none,0.1,4
0.009090909,0.022727273,0.031818182,0.145454545,0.581818182,1.054545455,1.309090909,none,none,4
0.01363636,0.03181818,0.03181818,0.10454545,0.15909091,0.16818182,0.18181818,lit,0.1,4
0.009090909,0.036363636,0.031818182,0.136363636,0.363636364,0.654545455,0.836363636,lit,none,4
0.01363636,0.47272727,8.29545455,15.78181818,17.98181818,18.88181818,19.22272727,none,none,none
